unit_price,quantity,stock,member_grade,coupon_code,region,customer_age_days,previous_order_count,recent_order_count_7d,coupon_usage_count_30d,is_preorder,address_risk_level,manual_review_needed
18000,1,20,BASIC,NONE,NORMAL,500,12,1,0,0,LOW,0
25000,1,15,SILVER,NONE,NORMAL,360,8,1,0,0,LOW,0
32000,1,10,GOLD,WELCOME10,NORMAL,240,6,2,1,0,LOW,0
12000,2,30,BASIC,NONE,NORMAL,700,20,1,0,0,LOW,0
45000,1,12,VIP,WELCOME10,NORMAL,900,30,2,1,0,LOW,0
22000,1,8,SILVER,WELCOME10,NORMAL,200,5,1,1,0,MEDIUM,0
15000,1,25,BASIC,NONE,NORMAL,100,2,1,0,0,LOW,0
28000,1,9,GOLD,NONE,NORMAL,430,9,1,0,0,LOW,0
98000,2,8,BASIC,WELCOME10,NORMAL,5,0,3,4,0,HIGH,1
75000,3,5,BASIC,WELCOME10,NORMAL,12,1,4,5,0,HIGH,1
60000,4,5,SILVER,WELCOME10,NORMAL,40,2,5,4,0,MEDIUM,1
50000,5,6,GOLD,NONE,NORMAL,80,3,4,1,1,MEDIUM,1
39000,2,3,BASIC,WELCOME10,NORMAL,15,0,2,3,1,HIGH,1
42000,3,4,SILVER,NONE,REMOTE_ISLAND,60,2,2,1,1,MEDIUM,1
30000,2,3,GOLD,WELCOME10,MILITARY_PO_BOX,120,4,3,2,0,MEDIUM,1
110000,1,6,VIP,WELCOME10,NORMAL,20,1,2,3,0,HIGH,1
17000,1,10,BASIC,NONE,NORMAL,600,15,0,0,0,LOW,0
24000,2,18,SILVER,NONE,NORMAL,480,11,1,0,0,LOW,0
36000,1,9,GOLD,WELCOME10,NORMAL,300,7,1,1,0,LOW,0
58000,1,10,VIP,NONE,NORMAL,750,22,1,0,0,LOW,0
68000,2,6,BASIC,WELCOME10,NORMAL,7,0,3,5,0,HIGH,1
72000,2,7,SILVER,WELCOME10,NORMAL,18,1,3,4,1,HIGH,1
33000,4,5,BASIC,NONE,NORMAL,25,0,2,1,1,MEDIUM,1
46000,2,4,GOLD,WELCOME10,REMOTE_ISLAND,90,2,2,2,0,MEDIUM,1
21000,1,14,BASIC,NONE,NORMAL,1000,35,0,0,0,LOW,0
27000,1,13,SILVER,WELCOME10,NORMAL,640,14,1,1,0,LOW,0
